API,constrinf,constrinf_2,neuri,symbolic,constrinf.1,constrinf_2.1,neuri.1,symbolic.1
tf.raw_ops.BitwiseXor.models,14828.0,13111.0,14142.0,10995.0,506.0,380.0,2825.0,2915.0
tf.raw_ops.BroadcastArgs.models,13703.0,13720.0,13287.0,12398.0,1232.0,1568.0,2253.0,2548.0
tf.raw_ops.BroadcastGradientArgs.models,13688.0,,11447.0,11001.0,1203.0,,63.0,3905.0
tf.raw_ops.BroadcastTo.models,12669.0,10117.0,11618.0,10999.0,624.0,187.0,3023.0,3388.0
tf.raw_ops.Bucketize.models,14353.0,,13773.0,11000.0,1296.0,,391.0,3245.0
tf.raw_ops.Ceil.models,13534.0,13534.0,11006.0,11536.0,1810.0,2099.0,3458.0,4007.0
tf.raw_ops.Cholesky.models,17536.0,15615.0,16836.0,10999.0,1206.0,1123.0,2128.0,3206.0
tf.raw_ops.ClipByValue.models,13725.0,12211.0,11505.0,10998.0,588.0,16.0,3409.0,3997.0
tf.raw_ops.Complex.models,13586.0,13724.0,13737.0,12398.0,876.0,1555.0,2280.0,2502.0
tf.raw_ops.ComplexAbs.models,12411.0,,11455.0,10999.0,1157.0,,890.0,3344.0
tf.raw_ops.ConcatV2.models,13534.0,13695.0,12992.0,12398.0,1465.0,1429.0,10.0,2274.0
tf.raw_ops.Conj.models,12369.0,10403.0,11494.0,10999.0,1548.0,2057.0,3644.0,3327.0
tf.raw_ops.ConjugateTranspose.models,13569.0,13689.0,13509.0,12397.0,851.0,1121.0,22.0,1834.0
tf.raw_ops.Conv2D.models,13718.0,13720.0,14693.0,12932.0,1250.0,1570.0,2317.0,2674.0
tf.raw_ops.Conv2DBackpropFilter.models,13067.0,13458.0,14200.0,12398.0,590.0,1131.0,1528.0,1724.0
tf.raw_ops.Conv2DBackpropInput.models,13530.0,13729.0,14099.0,12398.0,955.0,1586.0,2225.0,2595.0
tf.raw_ops.Conv3D.models,13625.0,13644.0,14519.0,12397.0,1626.0,1633.0,2217.0,2635.0
tf.raw_ops.Conv3DBackpropInputV2.models,13300.0,13703.0,12399.0,12398.0,1207.0,1164.0,2566.0,2894.0
tf.raw_ops.Cos.models,13749.0,13760.0,10999.0,10999.0,1639.0,1897.0,2848.0,3260.0
tf.raw_ops.Cosh.models,14795.0,13049.0,12221.0,10999.0,1804.0,2222.0,3304.0,3815.0
tf.raw_ops.Cumprod.models,14705.0,12355.0,14163.0,12398.0,1095.0,1300.0,2968.0,3363.0
tf.raw_ops.Cumsum.models,13520.0,13707.0,14767.0,12383.0,1132.0,1572.0,2245.0,2544.0
tf.raw_ops.DepthToSpace.models,12553.0,9641.0,11842.0,10999.0,1449.0,1363.0,3141.0,3641.0
tf.raw_ops.DepthwiseConv2dNative.models,13698.0,13700.0,14673.0,12398.0,1290.0,1869.0,2510.0,2888.0
tf.raw_ops.DepthwiseConv2dNativeBackpropFilter.models,13535.0,13710.0,12398.0,12398.0,951.0,1577.0,2166.0,2470.0
tf.raw_ops.DepthwiseConv2dNativeBackpropInput.models,13701.0,13537.0,12398.0,12398.0,1191.0,1870.0,2566.0,2961.0
tf.raw_ops.DiagPart.models,13759.0,13226.0,13331.0,10999.0,597.0,62.0,3285.0,3950.0
tf.raw_ops.Digamma.models,13577.0,11444.0,12641.0,10998.0,877.0,1450.0,2673.0,3071.0
tf.raw_ops.DivNoNan.models,15504.0,12585.0,14769.0,11553.0,623.0,107.0,3197.0,3360.0
tf.raw_ops.Einsum.models,13608.0,13706.0,18874.0,12397.0,858.0,1327.0,1689.0,2229.0
tf.raw_ops.Elu.models,14785.0,13034.0,12109.0,10999.0,1672.0,1993.0,2942.0,3282.0
tf.raw_ops.EluGrad.models,14322.0,12548.0,13836.0,10998.0,373.0,140.0,2538.0,2904.0
tf.raw_ops.Equal.models,14639.0,13120.0,14081.0,10999.0,281.0,877.0,163.0,3602.0
tf.raw_ops.Erf.models,14887.0,13083.0,11856.0,11015.0,1829.0,2068.0,3423.0,4118.0
tf.raw_ops.Erfc.models,14984.0,13189.0,12361.0,10999.0,1584.0,1682.0,3003.0,3485.0
tf.raw_ops.Erfinv.models,13447.0,,12593.0,10940.0,868.0,,2857.0,3445.0
tf.raw_ops.Exp.models,14088.0,14006.0,11229.0,11016.0,1646.0,1955.0,3040.0,3845.0
tf.raw_ops.ExpandDims.models,13075.0,13639.0,13213.0,12409.0,788.0,1158.0,69.0,1788.0
tf.raw_ops.Expm1.models,14124.0,14040.0,11247.0,10985.0,1765.0,1979.0,3452.0,3960.0
tf.raw_ops.ExtractImagePatches.models,13519.0,13686.0,14748.0,12397.0,736.0,1257.0,1797.0,1998.0
tf.raw_ops.Floor.models,13548.0,13562.0,11403.0,10998.0,1682.0,2004.0,3438.0,3779.0
tf.raw_ops.FloorDiv.models,14730.0,,14922.0,10999.0,656.0,,2884.0,3429.0
tf.raw_ops.FloorMod.models,14768.0,13506.0,14370.0,10999.0,942.0,182.0,2923.0,3337.0
tf.raw_ops.FusedBatchNorm.models,13713.0,13530.0,12794.0,12398.0,1041.0,1280.0,2383.0,2961.0
tf.raw_ops.GatherNd.models,13475.0,,12795.0,11552.0,858.0,,128.0,3544.0
tf.raw_ops.GatherV2.models,13723.0,13450.0,15579.0,12397.0,883.0,1283.0,9.0,2064.0
tf.raw_ops.Greater.models,14345.0,10267.0,13531.0,10998.0,518.0,70.0,3075.0,3319.0
tf.raw_ops.GreaterEqual.models,13816.0,,14206.0,12388.0,661.0,,2594.0,3000.0
tf.raw_ops.Identity.models,13692.0,13724.0,12915.0,12398.0,1411.0,1404.0,2731.0,2544.0
