API,constrinf,constrinf_2,neuri,symbolic,constrinf.1,constrinf_2.1,neuri.1,symbolic.1
torch.Tensor.round.models,37930.0,36901.0,36953.0,36856.0,1102.0,1887.0,130.0,9929.0
torch.Tensor.atan_.models,38008.0,37513.0,37634.0,36870.0,106.0,117.0,76.0,270.0
torch.Tensor.round_.models,38054.0,37508.0,37623.0,36861.0,986.0,1218.0,94.0,8712.0
torch.Tensor.atanh.models,37996.0,37534.0,36940.0,36874.0,94.0,112.0,49.0,221.0
torch.Tensor.rsqrt.models,37957.0,36935.0,36954.0,36848.0,1041.0,1439.0,76.0,9158.0
torch.Tensor.bitwise_left_shift.models,38118.0,37943.0,36932.0,36857.0,127.0,945.0,28.0,190.0
torch.Tensor.rsqrt_.models,38014.0,37470.0,37634.0,36842.0,1229.0,340.0,67.0,9221.0
torch.Tensor.scatter_.models,38213.0,,36942.0,36855.0,678.0,,56.0,10337.0
torch.Tensor.bitwise_not.models,38048.0,37555.0,37627.0,36874.0,208.0,1216.0,67.0,308.0
torch.Tensor.scatter_add_.models,38109.0,,36953.0,36842.0,601.0,,70.0,9199.0
torch.Tensor.bitwise_not_.models,38049.0,37545.0,37623.0,36876.0,232.0,1774.0,79.0,959.0
torch.Tensor.bitwise_or.models,38120.0,37969.0,38004.0,36860.0,62.0,85.0,65.0,155.0
torch.Tensor.scatter_reduce_.models,38151.0,,37706.0,36861.0,626.0,,31.0,9850.0
torch.Tensor.sigmoid.models,38044.0,36912.0,36955.0,36844.0,839.0,1307.0,73.0,9218.0
torch.Tensor.bitwise_xor.models,38106.0,37965.0,37943.0,36863.0,138.0,85.0,82.0,137.0
torch.Tensor.bmm.models,38101.0,37854.0,38033.0,36864.0,85.0,97.0,111.0,131.0
torch.Tensor.sigmoid_.models,38083.0,37494.0,37620.0,36853.0,994.0,219.0,58.0,7674.0
torch.Tensor.broadcast_to.models,38200.0,37727.0,36879.0,36874.0,136.0,304.0,16.0,524.0
torch.Tensor.sign.models,37549.0,37544.0,37602.0,36853.0,1016.0,1429.0,30.0,8493.0
torch.Tensor.sign_.models,37912.0,37525.0,36944.0,36862.0,1145.0,1558.0,49.0,9830.0
torch.Tensor.ceil.models,38004.0,36878.0,36954.0,36870.0,111.0,82.0,80.0,216.0
torch.Tensor.sin.models,38041.0,36929.0,36931.0,36858.0,869.0,872.0,26.0,8895.0
torch.Tensor.ceil_.models,37931.0,37480.0,37629.0,36863.0,88.0,72.0,49.0,216.0
torch.Tensor.sin_.models,38065.0,37384.0,37619.0,36864.0,1365.0,2029.0,69.0,10438.0
torch.Tensor.cholesky.models,37998.0,37541.0,36949.0,36862.0,110.0,260.0,75.0,245.0
torch.Tensor.sinh.models,37941.0,36927.0,36969.0,36855.0,1084.0,1398.0,85.0,8789.0
torch.Tensor.cholesky_inverse.models,38056.0,32804.0,36954.0,36856.0,104.0,95.0,69.0,265.0
torch.Tensor.sinh_.models,37882.0,37505.0,37633.0,36862.0,1061.0,1740.0,86.0,8791.0
torch.Tensor.cholesky_solve.models,38019.0,32863.0,36941.0,36870.0,169.0,1600.0,48.0,350.0
torch.Tensor.softmax.models,38050.0,,36926.0,36859.0,1204.0,,52.0,9248.0
torch.Tensor.chunk.models,38266.0,37844.0,37868.0,36870.0,144.0,138.0,77.0,222.0
torch.Tensor.clamp.models,37713.0,36949.0,37094.0,36867.0,114.0,99.0,68.0,260.0
torch.Tensor.sort.models,38013.0,37629.0,37764.0,36863.0,1056.0,2233.0,21.0,9978.0
torch.Tensor.sqrt.models,37939.0,36923.0,36960.0,36864.0,1159.0,1433.0,176.0,9298.0
